names,labels
Rachana ,girl
Rewa ,girl
Rabia ,girl
Rachna ,girl
Ranjudeep,girl
Reshmi ,girl
Ragini ,girl
Rijuta ,girl
Raviprabha ,girl
Rati ,girl
Rajhansa ,girl
Ratnabali ,girl
Ritisha ,girl
Rituparna ,girl
Ramini ,girl
Ritu ,girl
Rajdulari ,girl
Ratnali ,girl
Risha ,girl
Rajasi ,girl
Shilavatia ,girl
Sheela ,girl
Sangya ,girl
Shiuli ,girl
Shakeela ,girl
Sani ,girl
Shivali ,girl
Sapna ,girl
Shreemayi ,girl
Sahana ,girl
Shrigeeta ,girl
Sashi ,girl
Satviki ,girl
Sharda ,girl
Shila ,girl
Shrikirti ,girl
Saachi ,girl
Serena ,girl
Shridevi ,girl
Saumyaa ,girl
Shankhamala ,girl
Shrinitha,girl
Samreen ,girl
Shyamala ,girl
Shuchita ,girl
Saruprani ,girl
Shresthi ,girl
Sandhra,girl
Saanvi ,girl
Sanvali ,girl
Sharvari ,girl
Satvika ,girl
Shishirkana ,girl
Samvrita ,girl
